sample_id,sample_type,region,event_size,primary_category_e2,gt_px_10m,gt_px_30m,e2_px_10m,e3_px_10m,e3_px_30m,e2_px_30m,e2_iou_10m,e3_iou_10m,e2_iou_30m,e3_iou_30m,e2_recall_10m,e3_recall_10m,e2_recall_30m,e3_recall_30m,area_ratio_e2_10m,area_ratio_e3_10m,area_ratio_e3_30m,area_ratio_e2_30m,delta_iou_10m,delta_iou_30m
env_N0_E110_2019_a001,positive,SE Asia,small,UNKNOWN,1877,211,2558,3693,442,275,0.416,0.3911,0.4169,0.3894,0.6942,0.8343,0.6777,0.8673,1.3628,1.9675,2.0948,1.3033,-0.0249,-0.0275
env_N0_E110_2020_0004,positive,SE Asia,medium,UNKNOWN,418,43,364,710,86,37,0.2143,0.2142,0.194,0.2286,0.3301,0.4761,0.3023,0.5581,0.8708,1.6986,2.0,0.8605,-0.0001,0.0346
env_N0_E110_2020_0005,negative,SE Asia,,CLOUD_HAZE_CONTAMINATION,0,0,160,2309,287,11,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0
env_N0_E110_2020_a007,negative,SE Asia,,CLEAN_NEGATIVE,0,0,0,3431,426,0,1.0,0.0,1.0,0.0,,,,,,,,,-1.0,-1.0
env_N0_E110_2020_a009,negative,SE Asia,,CLOUD_HAZE_CONTAMINATION,0,0,217,513,61,22,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0
env_N0_E110_2021_a015,negative,SE Asia,,CLEAN_NEGATIVE,0,0,0,45,31,0,1.0,0.0,1.0,0.0,,,,,,,,,-1.0,-1.0
env_N0_W60_2019_0015,positive,Amazon,very_large,FRAGMENTATION_MISS,1053,118,6334,7553,868,688,0.0963,0.0888,0.0981,0.0859,0.6163,0.6667,0.6102,0.661,6.0152,7.1728,7.3559,5.8305,-0.0075,-0.0122
env_N0_W60_2019_0017,positive,Amazon,large,FRAGMENTATION_MISS,15663,1727,41203,39557,4562,4535,0.2834,0.3196,0.2808,0.3138,0.8018,0.8539,0.795,0.8697,2.6306,2.5255,2.6416,2.6259,0.0362,0.033
env_N0_W60_2020_0031,positive,Amazon,very_large,FRAGMENTATION_MISS,10196,1136,8724,7687,905,954,0.4723,0.3672,0.4708,0.3856,0.5952,0.4711,0.5889,0.5,0.8556,0.7539,0.7967,0.8398,-0.1051,-0.0852
env_N0_W60_2020_0033,positive,Amazon,medium,STRONG_DETECTION,11711,1317,12458,13791,1578,1361,0.7845,0.7667,0.7841,0.7804,0.9073,0.945,0.8937,0.9636,1.0638,1.1776,1.1982,1.0334,-0.0178,-0.0037
env_N0_W60_2020_0034,positive,Amazon,large,FRAGMENTATION_MISS,5373,604,13808,15694,1815,1535,0.318,0.301,0.3155,0.2964,0.8613,0.9071,0.8493,0.9156,2.5699,2.9209,3.005,2.5414,-0.017,-0.0191
env_N0_W60_2020_0037,positive,Amazon,medium,COMPLETE_MISS,902,93,0,24,9,0,0.0,0.0187,0.0,0.02,0.0,0.0188,0.0,0.0215,0.0,0.0266,0.0968,0.0,0.0187,0.02
env_N0_W60_2021_0055,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N0_W60_2022_0063,positive,Amazon,large,EXTENT_ERROR,29962,3367,5429,5437,687,561,0.1536,0.1532,0.1449,0.1717,0.1573,0.1569,0.1476,0.1764,0.1812,0.1815,0.204,0.1666,-0.0004,0.0268
env_N0_W60_2022_0065,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N0_W60_2022_0067,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N0_W60_2022_0068,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N0_W70_2019_0073,positive,Amazon,medium,UNKNOWN,3349,362,4691,7127,833,500,0.3071,0.4069,0.3041,0.396,0.564,0.9047,0.5552,0.9365,1.4007,2.1281,2.3011,1.3812,0.0998,0.0919
env_N0_W70_2019_r010,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N0_W70_2020_0098,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N0_W70_2020_0101,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N0_W70_2020_0102,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N0_W70_2021_0106,positive,Amazon,large,STRONG_DETECTION,26977,3070,40217,43292,4949,4436,0.6071,0.5822,0.6062,0.5813,0.9409,0.9584,0.9228,0.9603,1.4908,1.6048,1.6121,1.445,-0.0249,-0.0249
env_N0_W70_2022_0127,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_N10_E100_2020_a032,positive,SE Asia,medium,COMPLETE_MISS,1116,135,1217,1672,196,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0905,1.4982,1.4519,0.9556,0.0,0.0
env_S10_W60_2019_0142,positive,Amazon,small,FRAGMENTATION_MISS,2688,295,3376,5461,641,355,0.2001,0.2194,0.1927,0.2188,0.3761,0.5454,0.3559,0.5695,1.256,2.0316,2.1729,1.2034,0.0193,0.0261
env_S10_W60_2019_0148,positive,Amazon,large,STRONG_DETECTION,24396,2762,33566,39264,4511,3632,0.532,0.5342,0.54,0.5331,0.825,0.9086,0.8117,0.9156,1.3759,1.6094,1.6332,1.315,0.0022,-0.0069
env_S10_W60_2019_0150,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_S10_W60_2019_0157,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
env_S10_W60_2020_0165,positive,Amazon,large,SPECTRAL_SUBTLETY,5933,571,10187,10122,1191,1068,0.0851,0.0878,0.0726,0.0803,0.213,0.2184,0.1944,0.2294,1.717,1.7061,2.0858,1.8704,0.0027,0.0077
env_S10_W60_2020_0166,positive,Amazon,very_large,COMPLETE_MISS,8397,871,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
env_S10_W60_2020_0172,negative,Amazon,,CLEAN_NEGATIVE,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,0.0,0.0
