sample_id,event_id,split,region,tmf_tile,mgrs_tile,utm_zone,tmf_year,before_date,after_date,doy_difference,sample_type,event_size,positive_fraction,true_px,pred_px,tp,fp,fn,tn,precision,recall,f1,iou,gt_components,pred_components,region_matched,region_fp,region_fn,region_precision,region_recall,max_prob,mean_prob,mean_prob_in_gt,mean_prob_out_gt,invalid_fraction,residual_cloud_fraction,residual_cloud_before,residual_cloud_after,before_cloud_pct,after_cloud_pct,water_fraction,dnbr_reversed,training_eligibility,offset_overridden,region_f1,dB02_in_median,dB02_in_iqr,dB02_out_median,dB02_out_iqr,dB03_in_median,dB03_in_iqr,dB03_out_median,dB03_out_iqr,dB04_in_median,dB04_in_iqr,dB04_out_median,dB04_out_iqr,dB08_in_median,dB08_in_iqr,dB08_out_median,dB08_out_iqr,dB11_in_median,dB11_in_iqr,dB11_out_median,dB11_out_iqr,dB12_in_median,dB12_in_iqr,dB12_out_median,dB12_out_iqr,primary_category,secondary_category
env_N0_E110_2019_a001,N0_E110_2019_1918,test,SE Asia,N0_E110,50LPR,50,2019,2018-09-12,2020-09-11,0,positive,small,0.028641,1877,2558,1303,1255,574,62404,0.509382,0.694193,0.587599,0.416028,5,4,3,1,2,0.75,0.6,0.991684,0.280353,0.907165,0.261871,0.000122,0.004059,1.5e-05,0.004059,2.216,9.5195,0.0,False,training_eligible,False,0.666667,0.022,0.0232,0.0076,0.0174,0.0224,0.0254,0.0101,0.022,0.0425,0.0466,0.018,0.0369,-0.082,0.0622,-0.0024,0.0668,0.0987,0.0785,0.0485,0.0773,0.079,0.065,0.0265,0.0441,UNKNOWN,
env_N0_E110_2020_0004,N0_E110_2020_1437,test,SE Asia,N0_E110,50LPR,50,2020,2019-09-02,2021-09-01,1,positive,medium,0.006378,418,364,138,226,280,64892,0.379121,0.330144,0.352941,0.214286,5,2,1,1,4,0.5,0.2,0.982557,0.184463,0.671108,0.181339,0.0,0.0,0.0,0.0,2.8284,2.174,0.0,False,training_eligible,False,0.285714,0.0125,0.0158,0.0022,0.005,0.0106,0.017125,0.0004,0.0097,0.01925,0.043775,-0.0015,0.006275,-0.0629,0.09975,0.015,0.0604,0.0619,0.1007,-0.0023,0.0132,0.0502,0.083275,-0.0035,0.0076,UNKNOWN,
env_N0_E110_2020_0005,,test,SE Asia,N0_E110,49LHL,49,2020,2019-08-29,2021-08-08,21,negative,,0.0,0,160,0,160,0,65376,0.0,0.0,0.0,0.0,0,2,0,2,0,0.0,0.0,0.946597,0.281492,,0.281492,0.026245,0.042764,0.001144,0.042764,10.2632,18.6076,0.058716,,training_eligible,False,0.0,,,0.0004,0.0144,,,-0.0002,0.0145,,,-0.0079,0.0238,,,0.04,0.0548,,,-0.0149,0.0626,,,-0.0119,0.049,CLOUD_HAZE_CONTAMINATION,LAND_COVER_FALSE_POSITIVE
env_N0_E110_2020_a007,,test,SE Asia,N0_E110,49MDS,49,2020,2019-09-04,2021-08-29,6,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.854885,0.232005,,0.232005,0.043945,0.021834,0.021834,0.000495,3.2164,10.412,0.0,,training_eligible,False,0.0,,,-0.0162,0.0141,,,-0.0113,0.0159,,,-0.0183,0.029,,,0.0076,0.0926,,,-0.0511,0.0611,,,-0.0385,0.0505,CLEAN_NEGATIVE,
env_N0_E110_2020_a009,,test,SE Asia,N0_E110,50LPR,50,2020,2019-09-02,2021-09-01,1,negative,,0.0,0,217,0,217,0,65319,0.0,0.0,0.0,0.0,0,1,0,1,0,0.0,0.0,0.972415,0.257249,,0.257249,0.002319,0.014698,0.002631,0.014698,2.8284,2.174,0.000734,,training_eligible,False,0.0,,,-0.0014,0.0313,,,-0.004,0.0364,,,-0.0112,0.0593,,,-0.007,0.066,,,-0.0131,0.076,,,-0.0091,0.062,CLOUD_HAZE_CONTAMINATION,LAND_COVER_FALSE_POSITIVE
env_N0_E110_2021_a015,,test,SE Asia,N0_E110,49MHM,49,2021,2020-08-23,2022-08-23,1,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.682574,0.206848,,0.206848,0.003662,0.003783,0.00314,0.003783,4.4439,8.6085,0.208313,,training_eligible,False,0.0,,,-0.0047,0.0101,,,-0.0015,0.0117,,,-0.0123,0.0223,,,0.0618,0.0802,,,-0.0188,0.0479,,,-0.0312,0.0526,CLEAN_NEGATIVE,
env_N0_W60_2019_0015,N0_W60_2019_1318,test,Amazon,N0_W60,22MCA,22,2019,2018-09-01,2020-09-05,5,positive,very_large,0.016068,1053,6334,649,5685,404,58798,0.102463,0.616334,0.175714,0.096319,8,3,0,3,8,0.0,0.0,0.999268,0.353117,0.746047,0.3467,0.000916,0.010828,0.003849,0.010828,2.5635,7.5605,0.0,False,training_eligible,False,0.0,0.0156,0.0149,0.0006,0.00675,0.0278,0.0215,0.0052,0.0119,0.0323,0.0325,0.0038,0.0081,-0.008,0.0584,0.0101,0.0612,0.0742,0.0719,0.0056,0.0283,0.0505,0.0569,0.0016,0.0153,FRAGMENTATION_MISS,
env_N0_W60_2019_0017,N0_W60_2019_2261,test,Amazon,N0_W60,21MXP,21,2019,2018-08-08,2020-08-07,0,positive,large,0.238998,15663,41203,12558,28645,3105,21228,0.304784,0.801762,0.44167,0.283425,14,1,0,1,14,0.0,0.0,0.998935,0.808328,0.917406,0.774071,0.003418,0.003583,0.003583,7.7e-05,2.8449,0.0042,0.0,True,training_eligible,False,0.0,0.0186,0.0106,0.0117,0.0239,0.0247,0.0173,0.0121,0.0247,0.0323,0.0165,0.0215,0.0471,-0.0198,0.0854,-0.0682,0.1772,0.0722,0.0458,0.0256,0.0496,0.0562,0.02935,0.0397,0.0812,FRAGMENTATION_MISS,
env_N0_W60_2020_0031,N0_W60_2020_1158,test,Amazon,N0_W60,21MYR,21,2020,2019-08-10,2021-08-09,1,positive,very_large,0.155579,10196,8724,6069,2655,4127,52685,0.695667,0.595233,0.641543,0.472259,14,4,2,2,12,0.5,0.142857,0.999374,0.366991,0.817035,0.284074,0.0,0.0,0.0,0.0,0.0054,0.0072,0.000137,False,training_eligible,False,0.222222,0.0093,0.0066,-0.0007,0.0056,0.0163,0.0129,-0.0007,0.0101,0.0133,0.0119,-0.0001,0.0077,0.0442,0.0926,-0.0127,0.0473,0.0395,0.045,0.0012,0.0168,0.026,0.0297,0.0015,0.0115,FRAGMENTATION_MISS,
env_N0_W60_2020_0033,N0_W60_2020_2530,test,Amazon,N0_W60,21MWN,21,2020,2019-08-08,2021-08-07,1,positive,medium,0.178696,11711,12458,10625,1833,1086,51992,0.852866,0.907267,0.879225,0.78448,2,1,1,0,1,1.0,0.5,0.999144,0.360179,0.960306,0.229607,0.0,0.003281,0.001404,0.003281,0.0005,0.0015,0.000519,False,training_eligible,False,0.666667,-0.0056,0.0106,-0.0108,0.0138,0.0037,0.0108,-0.0048,0.0166,0.0088,0.0174,-0.0002,0.0264,-0.0022,0.0689,0.0016,0.0434,0.0582,0.034,0.0202,0.0503,0.0385,0.0254,0.0109,0.033,STRONG_DETECTION,
env_N0_W60_2020_0034,N0_W60_2020_2691,test,Amazon,N0_W60,21MWN,21,2020,2019-08-08,2021-08-07,1,positive,large,0.081985,5373,13808,4628,9180,745,50983,0.335168,0.861344,0.482561,0.31801,6,3,1,2,5,0.333333,0.166667,0.999412,0.378165,0.946199,0.327435,0.0,0.0,0.0,0.0,0.0005,0.0015,1.5e-05,False,training_eligible,False,0.222222,0.0225,0.0148,0.0187,0.0178,0.0285,0.0146,0.0169,0.0144,0.0298,0.0163,0.0136,0.0115,0.014,0.0756,0.0098,0.0345,0.0692,0.0396,0.0041,0.0108,0.0466,0.0244,0.0019,0.0064,FRAGMENTATION_MISS,
env_N0_W60_2020_0037,N0_W60_2020_3657,test,Amazon,N0_W60,21LZK,21,2020,2019-08-22,2021-08-21,1,positive,medium,0.013763,902,0,0,0,902,64634,0.0,0.0,0.0,0.0,8,0,0,0,8,0.0,0.0,0.855851,0.220254,0.354842,0.218376,0.0,0.0,0.0,0.0,0.0012,0.0011,0.0,False,training_eligible,False,0.0,0.0023,0.0053,-0.0013,0.0055,0.0015,0.007,0.0074,0.0148,0.00465,0.009275,0.0059,0.0172,-0.0253,0.05655,0.0816,0.0812,0.01665,0.0179,0.0731,0.0877,0.0112,0.0143,0.0012,0.023,COMPLETE_MISS,SPECTRAL_SUBTLETY
env_N0_W60_2021_0055,,test,Amazon,N0_W60,22MES,22,2021,2020-09-02,2022-09-02,1,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.385837,0.157818,,0.157818,0.0,0.000122,0.000107,0.000122,0.1531,0.002,0.001709,,training_eligible,False,0.0,,,-0.0123,0.0295,,,-0.0056,0.0305,,,-0.0047,0.0472,,,0.0344,0.0401,,,0.0027,0.0398,,,0.0003,0.0219,CLEAN_NEGATIVE,
env_N0_W60_2022_0063,N0_W60_2022_2814,test,Amazon,N0_W60,22MDS,22,2022,2021-08-08,2023-08-08,0,positive,large,0.457184,29962,5429,4712,717,25250,34857,0.867931,0.157266,0.266282,0.15359,22,9,0,9,22,0.0,0.0,0.987179,0.512665,0.650908,0.39623,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0,False,training_eligible,False,0.0,0.0042,0.005,0.0023,0.0048,0.0035,0.0066,0.0024,0.0062,0.0077,0.0088,0.0035,0.0078,-0.055,0.0618,-0.0192,0.0476,0.0205,0.0168,0.0128,0.0142,0.0185,0.014,0.0104,0.0119,EXTENT_ERROR,under-extent
env_N0_W60_2022_0065,,test,Amazon,N0_W60,21MVU,21,2022,2021-08-20,2023-08-20,0,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.665411,0.166076,,0.166076,0.0,0.0,0.0,0.0,5.5166,0.0023,0.0,,training_eligible,False,0.0,,,-0.0139,0.0045,,,-0.0117,0.0074,,,-0.0086,0.0047,,,-0.0128,0.0418,,,-0.0171,0.0087,,,-0.0071,0.0047,CLEAN_NEGATIVE,
env_N0_W60_2022_0067,,test,Amazon,N0_W60,21MWS,21,2022,2021-08-22,2023-08-27,5,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.613237,0.175964,,0.175964,0.0,0.000275,0.000275,0.000244,0.9093,1.9771,0.0,,training_eligible,False,0.0,,,-0.0002,0.0038,,,0.0014,0.0068,,,0.0017,0.0042,,,0.0063,0.0426,,,0.0028,0.0076,,,-0.0014,0.0045,CLEAN_NEGATIVE,
env_N0_W60_2022_0068,,test,Amazon,N0_W60,21MVU,21,2022,2021-08-20,2023-08-20,0,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.567937,0.173371,,0.173371,0.001465,0.000749,0.000749,0.0,5.5166,0.0023,0.0,,training_eligible,False,0.0,,,-0.0093,0.0038,,,-0.0061,0.0066,,,-0.0058,0.0042,,,0.0186,0.0372,,,-0.0033,0.0069,,,-0.0018,0.0039,CLEAN_NEGATIVE,
env_N0_W70_2019_0073,N0_W70_2019_1079,test,Amazon,N0_W70,19MCM,19,2019,2018-08-03,2020-08-02,0,positive,medium,0.051102,3349,4691,1889,2802,1460,59385,0.402686,0.564049,0.4699,0.307105,8,5,3,2,5,0.6,0.375,0.996406,0.321735,0.828965,0.294419,0.006958,0.000277,0.000277,0.000154,3.6327,0.0006,0.002551,False,training_eligible,False,0.461538,0.0182,0.0084,0.008,0.0058,0.028,0.0156,0.0049,0.0087,0.0202,0.0131,0.0043,0.0076,0.0735,0.0904,0.0236,0.0514,0.0598,0.0397,-0.0032,0.0171,0.0337,0.0254,-0.0033,0.0116,UNKNOWN,
env_N0_W70_2019_r010,,test,Amazon,N0_W70,20MNU,20,2019,2018-08-24,2020-08-23,0,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.311532,0.16055,,0.16055,0.0,0.0,0.0,0.0,0.4971,0.0031,0.0,,training_eligible,False,0.0,,,-0.0007,0.0042,,,0.0004,0.0046,,,0.0002,0.0034,,,0.0273,0.0222,,,0.0033,0.0049,,,0.0005,0.0032,CLEAN_NEGATIVE,
env_N0_W70_2020_0098,,test,Amazon,N0_W70,19MEU,19,2020,2019-08-08,2021-08-02,6,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.64512,0.170203,,0.170203,0.0,0.0,0.0,0.0,4.9562,3.586,0.0,,training_eligible,False,0.0,,,-0.0108,0.0034,,,-0.0015,0.0068,,,-0.0021,0.0033,,,0.0099,0.039,,,-0.0017,0.0067,,,-0.0006,0.0032,CLEAN_NEGATIVE,
env_N0_W70_2020_0101,,test,Amazon,N0_W70,19MHS,19,2020,2019-08-05,2021-08-09,4,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.331985,0.156989,,0.156989,0.0,0.0,0.0,0.0,3.7531,3.1794,0.0,,training_eligible,False,0.0,,,-0.0286,0.0044,,,-0.0185,0.0048,,,-0.0158,0.0035,,,-0.0054,0.0247,,,0.0036,0.0051,,,-0.0019,0.0029,CLEAN_NEGATIVE,
env_N0_W70_2020_0102,,test,Amazon,N0_W70,19MFU,19,2020,2019-08-08,2021-08-02,6,negative,,0.0,0,0,0,0,0,65536,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.641535,0.187448,,0.187448,0.0,0.0,0.0,0.0,11.7928,2.1253,0.0,,training_eligible,False,0.0,,,-0.0052,0.0033,,,0.0007,0.0058,,,0.0013,0.0028,,,0.0054,0.0302,,,0.0055,0.0057,,,0.0002,0.003,CLEAN_NEGATIVE,
env_N0_W70_2021_0106,N0_W70_2021_0975,test,Amazon,N0_W70,20MNT,20,2021,2020-08-23,2022-08-23,1,positive,large,0.411636,26977,40217,25383,14834,1594,23725,0.631151,0.940913,0.755514,0.607089,3,5,2,3,1,0.4,0.666667,0.99929,0.811608,0.974562,0.697601,0.0,0.000519,1.5e-05,0.000519,0.0116,0.5576,0.005219,True,training_eligible,False,0.5,0.0654,0.0187,0.0553,0.0135,0.0602,0.0172,0.0407,0.0136,0.0524,0.0176,0.0348,0.0238,0.0224,0.0592,-0.0027,0.1216,0.0817,0.0219,0.016,0.0615,0.0526,0.0165,0.0271,0.0815,STRONG_DETECTION,
